	item_type	clean_name	brand	country	subtype	source_domain	weight	units	price	currency	description	full_description	characteristics	additional_info	url	master_name	filter_name
10	malt	солод курский копченый на буке	 ностерс	ru		grainrus	5.0	кг	788.0	rub	солод ячменный специальный российский, дроблёный, копченый, ностерс, мешок 5 кг		['3.4 - 4.6 ebc', 'мешок 5 кг']		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-rossiyskiy-droblyenyy-kopchenyy-nosters-meshok-5-kg/	smoked буке курский на 	smoked буке курский на 
11	hop	хмель циндао флауэр / tsingtao flower (китай)		us	500 г	beer.rf	500.0	г	754.0	rub	самый востребованный и популярный универсальный сорт хмеля из поднебесной. по характеристикам похож на американский хмель каскад. урожай 2024 | альфа кислота 6,5 % самый востребованный и популярный универсальный сорт хмеля из поднебесной. по характеристикам похож на американский хмель каскад. урожай 2024 | альфа кислота 6,5 %	хмель циндао флауэр (tsingtao flower) - является гордостью народной республики китай и главным хмелевым сортом, представленным на рынке. этот сорт занимает до 90% общего производства хмеля в регионе и привлекает внимание своим уникальным ароматом и вкусом. в аромате циндао флауэр преобладают ягодные ноты, особенно черная смородина, которая придает пиву освежающий и фруктовый оттенок. но это только начало - в этом хмеле также можно обнаружить древесно-пряные нюансы табака, нотки чая и даже аромат жасмина. это сочетание создает уникальный ароматный букет, который привлекает пиволюбов со всего мира. однако аромат - это только одна сторона циндао флауэр. вкусовой профиль этого сорта характеризуется яркими цитрусовыми нотами грейпфрута и апельсина, которые придают пиву освежающую кислинку и легкость. дополнительно, в этом хмеле можно найти ароматы зеленого чая улун, который придает напитку некую глубину и сложность во вкусе, а сладкая дыня и сочная клубника придадут ощущения нежности и легкой сладости.	['альфа-кислота: 6 - 8 %', 'бета-кислота: 3 - 4.5 %', 'полифенолы: 3 - 4%', 'всего эфирных масел: 0.4 - 0.8 мл/100 г сухого хмеля', 'мирцен: 45 - 55%', 'линалол: 0.2%']	состав эфирных масел: ближайший аналог: кластер / cluster (сша), каскад / cascad (сша) все рецепты с ингредиентом	https://биp.pф/shop/1567/desc/khmel-cindao-flauehr-tsingtao-flower-kitaj-500-g	flower tsingtao китай 	flower tsingtao китай 
12	malt	солод курский карамельный 250	 грейнрус	ru		grainrus	5.0	кг	600.0	rub	солод ячменный специальный российский, карамельный, 250, курский солод, мешок 5 кг		['230-270 ebc', 'мешок 5 кг']		https://malt.ru/catalog/solod/karamelnyy-250_3/	250 cara 	250 cara 
13	hop	хмель циндао флауэр / tsingtao flower (китай)		us	50 г	beer.rf	50.0	г	105.0	rub	самый востребованный и популярный универсальный сорт хмеля из поднебесной. по характеристикам похож на американский хмель каскад. урожай 2024 | альфа кислота 6,5 % самый востребованный и популярный универсальный сорт хмеля из поднебесной. по характеристикам похож на американский хмель каскад. урожай 2024 | альфа кислота 6,5 %	хмель циндао флауэр (tsingtao flower) - является гордостью народной республики китай и главным хмелевым сортом, представленным на рынке. этот сорт занимает до 90% общего производства хмеля в регионе и привлекает внимание своим уникальным ароматом и вкусом. в аромате циндао флауэр преобладают ягодные ноты, особенно черная смородина, которая придает пиву освежающий и фруктовый оттенок. но это только начало - в этом хмеле также можно обнаружить древесно-пряные нюансы табака, нотки чая и даже аромат жасмина. это сочетание создает уникальный ароматный букет, который привлекает пиволюбов со всего мира. однако аромат - это только одна сторона циндао флауэр. вкусовой профиль этого сорта характеризуется яркими цитрусовыми нотами грейпфрута и апельсина, которые придают пиву освежающую кислинку и легкость. дополнительно, в этом хмеле можно найти ароматы зеленого чая улун, который придает напитку некую глубину и сложность во вкусе, а сладкая дыня и сочная клубника придадут ощущения нежности и легкой сладости.	['альфа-кислота: 6 - 8 %', 'бета-кислота: 3 - 4.5 %', 'полифенолы: 3 - 4%', 'всего эфирных масел: 0.4 - 0.8 мл/100 г сухого хмеля', 'мирцен: 45 - 55%', 'линалол: 0.2%']	состав эфирных масел: ближайший аналог: кластер / cluster (сша), каскад / cascad (сша) все рецепты с ингредиентом	https://биp.pф/shop/1565/desc/khmel-cindao-flauehr-tsingtao-flower-kitaj-50-g	flower tsingtao китай 	flower tsingtao китай 
14	malt	солод курский карамельный 300	 грейнрус	ru		grainrus	5.0	кг	724.0	rub	солод ячменный специальный российский, дробленый, карамельный, 300, курский солод, мешок 5 кг		['280 - 320 ebc', 'мешок 5 кг']		https://malt.ru/catalog/solod/karamelnyy-300-molotyy_1/	300 cara 	300 cara 
15	hop	хмель истринский (россия)	 агроресурсы	ru	хмель в гранулах ароматный	beer.rf	50.0	г	121.98	rub	ароматный сорт хмеля, который обладает нежным хмелевым привкусом и ярко выраженным сложным ароматом. урожай 2023 г | альфа-кислота 4,2 % ароматный сорт хмеля, который обладает нежным хмелевым привкусом и ярко выраженным сложным ароматом. урожай 2023 г | альфа-кислота 4,2 %	хмель истринский - это ароматный сорт хмеля обладающий нежным хмелевым привкусом и ароматом, которые добавляют особый шарм и характер пиву. в составе истринского хмеля содержится множество горьких веществ и ароматических компонентов, что делает его востребованным в пивоварении. этот сорт хмеля является универсальным и подходит для охмеления различных сортов пива. благодаря своей многогранности и богатому ароматическому профилю, истринский хмель может использоваться как для производства легких светлых сортов пива, так и для создания более насыщенных и крепких сортов, таких как бельгийские эли или стауты. альфа-кислота, которая является мерой горечи в хмеле, составляет 4,5%. это означает, что истринский хмель обладает низкой горечью, что делает его более привлекательным для пивоваров, как ароматический компонент пива.	['производство: россия', 'тип использования: для аромата.', 'альфа кислота: 4-4,5%', 'аромат: ярко выраженный сложный аромат с цветочными нотами.', 'альтернатива: нет.', 'применение в стилях: светлый лагер, пильзнер, янтарный лагер, темный лагер, светлый эль']	все рецепты с ингредиентом	https://биp.pф/shop/947/desc/khmel-istrinskij-rossija-50-g	истринский россия 	истринский россия 
16	malt	солод курский пилзнер премиум	 грейнрус	ru		grainrus	25.0	кг	2529.0	rub	солод ячменный светлый российский, премиум, курский солод, мешок 25 кг		['max 3.7 ebc', 'мешок 25 кг']		https://malt.ru/catalog/solod/pilzner-premium/	 пилзнер премиум 	 пилзнер премиум 
17	hop	хмель шпальтер селект / spalter select (германия)	 ign	de	хмель в гранулах ароматный	beer.rf	50.0	г	153.0	rub	ароматный хмель с мягкими, слегка пряными нотками. он также сопоставим с жатецким хмелем и идеально подходит для лагеров, пильзнеров, и других сортов пива в немецком стиле. урожай 2025 | альфа кислота 4,4 % ароматный хмель с мягкими, слегка пряными нотками. он также сопоставим с жатецким хмелем и идеально подходит для лагеров, пильзнеров, и других сортов пива в немецком стиле. урожай 2025 | альфа кислота 4,4 %	хмель шпальтер селект (spalter select) - это замечательный сорт хмеля, который был разработан в нии хмеля в халле путем скрещивания хмелей шпальт и халлертаур мителльфрю. его появление пришлось на конец 1980-х годов, когда было решено создать новый сорт, который мог бы заменить популярный шпальт и обладал бы более высокими характеристиками. шпальтер селект относится к благородным сортам хмеля, так как содержит низкое количество когумулона. его уровень альфа-кислоты составляет примерно от 3,5% до 5,5%, при это обладает мягким ароматом, который напоминает шпальт, но с некоторой специфичностью. это делает его идеальным выбором для различных немецких стилей пива, таких как лагеры, пильзнеры и другие. хмель шпальтер селект (spalter select) - это замечательный сорт хмеля, который был разработан в нии хмеля в халле путем скрещивания хмелей шпальт и халлертаур мителльфрю. его появление пришлось на конец 1980-х годов, когда было решено создать новый сорт, который мог бы заменить популярный шпальт и обладал бы более высокими характеристиками. шпальтер селект относится к благородным сортам хмеля, так как содержит низкое количество когумулона. его уровень альфа-кислоты составляет примерно от 3,5% до 5,5%, при это обладает мягким ароматом, который напоминает шпальт, но с некоторой специфичностью. это делает его идеальным выбором для различных немецких стилей пива, таких как лагеры, пильзнеры и другие. хмель шпальтер селект также сравнивают с другим популярным немецким сортом хмеля - жатецким. оба сорта обладают схожими характеристиками и широко используются в немецком стиле пивоварения. это открывает возможности для экспериментов и создания новых вкусовых комбинаций.	['альфа-кислота: 3.0 - 6.5%', 'бета-кислота: 2.5 - 5.0%', 'когумулон: 21 - 27%', 'всего эфирных масел: 0.6 - 0.9 мл / 100 гр.', 'мирцен: 20-40%', 'гумулен: 10-22%', 'кариофилен: 4-10%', 'фарнезен: 15-22%', 'альфа-кислота: 3.0 - 6.5%', 'бета-кислота: 2.5 - 5.0%', 'когумулон: 21 - 27%', 'всего эфирных масел: 0.6 - 0.9 мл / 100 гр.', 'мирцен: 20-40%', 'гумулен: 10-22%', 'кариофилен: 4-10%', 'фарнезен: 15-22%', 'альфа-кислота: 3.0 - 6.5%', 'бета-кислота: 2.5 - 5.0%', 'когумулон: 21 - 27%', 'всего эфирных масел: 0.6 - 0.9 мл / 100 гр.', 'мирцен: 20-40%', 'гумулен: 10-22%', 'кариофилен: 4-10%', 'фарнезен: 15-22%']	шпальтер селект относится к благородным сортам хмеля, так как содержит низкое количество когумулона. его уровень альфа-кислоты составляет примерно от 3,5% до 5,5%, при это обладает мягким ароматом, который напоминает шпальт, но с некоторой специфичностью. это делает его идеальным выбором для различных немецких стилей пива, таких как лагеры, пильзнеры и другие. хмель шпальтер селект также сравнивают с другим популярным немецким сортом хмеля - жатецким. оба сорта обладают схожими характеристиками и широко используются в немецком стиле пивоварения. это открывает возможности для экспериментов и создания новых вкусовых комбинаций. состав эфирных масел: применение: идеально подходит для приготовления лагеров, пилснеров и других немецких стилей пива. аналоги: жатецкий , шпальт , теттнангер , херсбрукер все рецепты с ингредиентом состав эфирных масел: применение: идеально подходит для приготовления лагеров, пилснеров и других немецких стилей пива. аналоги: жатецкий , шпальт , теттнангер , херсбрукер все рецепты с ингредиентом состав эфирных масел: применение: идеально подходит для приготовления лагеров, пилснеров и других немецких стилей пива. аналоги: жатецкий , шпальт , теттнангер , херсбрукер все рецепты с ингредиентом	https://биp.pф/shop/145/desc/khmel-shpalter-selekt-spalter-select-germanija-50-g	select spalter германия 	select spalter германия 
18	malt	солод castle malting crystal (кристалл)	 castle malting	us		grainrus	25.0	кг	4763.0	rub	солод ячменный специальный импортный, crystal, 150, castle malting, мешок 25 кг		['140-160 ebc', 'мешок 25 кг']		https://malt.ru/catalog/solod/kara-kristal/	 crystal кристалл 	 crystal кристалл 
19	malt	солод карамельный castle malting cara terra (кара терра)	 castle malting	us		grainrus	25.0	кг	5089.0	rub	солод ячменный специальный импортный, cara terra, castle malting, мешок 25 кг		['170-220 ebc', 'мешок 25 кг']		https://malt.ru/catalog/solod/kara-terra/	cara terra 	cara terra 
20	yeast	спиртовые дрожжи ракета turbo (leyka)	 leyka	us	дрожжи самогонные	beer.rf	100.0	г	170.13	rub	универсальные дрожжи для производства спиртных напитков на основе сахара, сиропов зерновых, солодовых, глюкозно-фруктозного сиропа, варенья, мелассы, сухих экстрактов, экстрактов солодовых, зерновых культур и других видов сырья. годен до универсальные дрожжи для производства спиртных напитков на основе сахара, сиропов зерновых, солодовых, глюкозно-фруктозного сиропа, варенья, мелассы, сухих экстрактов, экстрактов солодовых, зерновых культур и других видов сырья. годен до		[]		https://биp.pф/shop/1191/desc/spirtovye-drozhzhi-raketa-turbo-leyka-100-g	 turbo ракета спиртовые	 turbo ракета спиртовые
21	yeast	пивные дрожжи safbrew la-01 (fermentis)	 fermentis	us	дрожжи безалкогольные	beer.rf	500.0	г	10001.0	rub	дрожжи для производства безалкольного пива. не сбраживают мальтозу и более сложные сахара, а только самые простые - глюкоза, фруктоза и сахароза, которые в пивном сусле содержатся в меньшем количестве. годен до дрожжи для производства безалкольного пива. не сбраживают мальтозу и более сложные сахара, а только самые простые - глюкоза, фруктоза и сахароза, которые в пивном сусле содержатся в меньшем количестве. годен до		[]		https://биp.pф/shop/1613/desc/pivnye-drozhzhi-safbrew-la-01-fermentis-500-g	01 la safbrew пивные	01 la safbrew пивные
22	malt	солод курский ржаной ферментированный	 грейнрус	ru		grainrus	25.0	кг	2316.0	rub	солод ржаной специальный российский, ферментированный, ржаной, органик фуд, мешок 25 кг		['мешок 25 кг']		https://malt.ru/catalog/solod/solod-rzhanoy-spetsialnyy-rossiyskiy-fermentirovannyy-rzhanoy-organik-fud-meshok-25-kg/	 ржаной ферментированный	курский ржаной ферментированный
23	yeast	пивные дрожжи safale bw-20 (fermentis)	 fermentis	us	дрожжи элевые	beer.rf	500.0	г	10279.5	rub	дрожжи для бельгийского белого пива (витбир). позволяют получить более полнотелое пиво с тонкими фенольными нотами. диапазон брожения: 18-26°c годен до дрожжи для бельгийского белого пива (витбир). позволяют получить более полнотелое пиво с тонкими фенольными нотами. диапазон брожения: 18-26°c годен до	специальные дрожжи, отобранные для производства пшеничного пива, играют ключевую роль в создании уникального вкусового профиля этого напитка. их нейтральный фруктовый вкус, оттененный специфическими фенольными нотами, придает пиву особую изысканность. нотки гвоздики и перца, возникают благодаря аккуратному взаимодействию дрожжей с компонентами сусла, создавая богатую палитру ароматов. особенностью этих дрожжей является их способность не полностью ферментировать мальтотриозу, что вносит дополнительные нюансы во вкус готового продукта. это сочетание сладости и лёгкой терпкости заполняет пьющий глоток, оставляя приятное послевкусие. дрожжи со средней седиментацией при ресуспендировании в пиве не образуют комков, что обеспечивает однородную текстуру и визуальную привлекательность. пудровая дымка, возникающая в результате брожения, добавляет эстетический элемент, характерный для пшеничных стилей пива. таким образом, использование этих специализированных дрожжей не только обогащает вкус пшеничного пива, но и создает целостную визуальную привлекательность, которая способна очаровать даже самых требовательных ценителей пшеничного пива. специальные дрожжи, отобранные для производства пшеничного пива, играют ключевую роль в создании уникального вкусового профиля этого напитка. их нейтральный фруктовый вкус, оттененный специфическими фенольными нотами, придает пиву особую изысканность. нотки гвоздики и перца, возникают благодаря аккуратному взаимодействию дрожжей с компонентами сусла, создавая богатую палитру ароматов. особенностью этих дрожжей является их способность не полностью ферментировать мальтотриозу, что вносит дополнительные нюансы во вкус готового продукта. это сочетание сладости и лёгкой терпкости заполняет пьющий глоток, оставляя приятное послевкусие. дрожжи со средней седиментацией при ресуспендировании в пиве не образуют комков, что обеспечивает однородную текстуру и визуальную привлекательность. пудровая дымка, возникающая в результате брожения, добавляет эстетический элемент, характерный для пшеничных стилей пива. таким образом, использование этих специализированных дрожжей не только обогащает вкус пшеничного пива, но и создает целостную визуальную привлекательность, которая способна очаровать даже самых требовательных ценителей пшеничного пива. стили пива: витбир, бланш	['температура брожения: 18-26°c', 'степень сбраживания: 77-83 %', 'флокуляция: низкая', 'дозировка: 50 - 80 г/гл', 'высшие эфиры: от высоких до средних', 'высшие спирты: от высоких до средних']	стили пива: витбир, бланш хранение: 36 месяцев от даты производства. в процессе транспортировки: упаковки могут перевозиться и храниться при комнатной температуре в течение не более 3-х месяцев, что не повлияет на их характеристики. в пункте назначения: хранить в прохладном и сухом помещении при температуре < 10°c.	https://биp.pф/shop/1786/desc/pivnye-drozhzhi-safale-bw-20-fermentis-500-g	20 bw safale пивные	20 bw safale пивные
24	malt	солод курский ржаной неферментированный	 грейнрус	ru		grainrus	25.0	кг	2486.0	rub	солод ржаной специальный российский, неферментированный, дробленый, ржаной, органик фуд, мешок 25 кг		['мешок 25 кг']		https://malt.ru/catalog/solod/solod-rzhanoy-spetsialnyy-rossiyskiy-nefermentirovannyy-droblenyy-rzhanoy-organik-fud-meshok-25-kg/	курский неферментированный ржаной 	курский неферментированный ржаной 
25	yeast	пивные дрожжи philly sour (lallemand)	 lallemand	us	дрожжи элевые	beer.rf	11.0	г	549.0	rub	"дрожжи lallemand ""philly sour"" используются для производства кислых сортов пива. диапазон брожения: 20-25°c. годен до дрожжи lallemand ""philly sour"" используются для производства кислых сортов пива. диапазон брожения: 20-25°c. годен до"	"первые дрожжи из линейки wildbrew - идеальный выбор для тех, кто стремится к инновационному и освежающему вкусу кислых сортов пива с нотками косточковых фруктов. ""philly sour"" - это дрожжи с высокой степенью сбраживания, отличной флокуляцией и прекрасным образованием пены. они идеально подходят для кислотных стилей пива, таких как берлинский вайс, гозе, американский ламбик и американский дикий эль. кроме того, благодаря своей устойчивости к хмелю, ""philly sour"" являются идеальным выбором для создания кислых ipa. это открывает новые возможности для пивоваров, которые хотят создавать пиво с яркими ароматами хмеля, сопровождаемыми приятной кислотностью. благодаря этим дрожжам, пивовары могут экспериментировать с различными сочетаниями хмеля и кислотности, чтобы создать уникальные сорта пива. первые дрожжи из линейки wildbrew - идеальный выбор для тех, кто стремится к инновационному и освежающему вкусу кислых сортов пива с нотками косточковых фруктов. ""philly sour"" - это дрожжи с высокой степенью сбраживания, отличной флокуляцией и прекрасным образованием пены. они идеально подходят для кислотных стилей пива, таких как берлинский вайс, гозе, американский ламбик и американский дикий эль. кроме того, благодаря своей устойчивости к хмелю, ""philly sour"" являются идеальным выбором для создания кислых ipa. это открывает новые возможности для пивоваров, которые хотят создавать пиво с яркими ароматами хмеля, сопровождаемыми приятной кислотностью. благодаря этим дрожжам, пивовары могут экспериментировать с различными сочетаниями хмеля и кислотности, чтобы создать уникальные сорта пива. стили пива: берлинский вайс, гозе, американский ламбик, американский дикий эль, кислый ipa"	['аромат: кислый, красное яблоко и косточковые фрукты, особенно персик.', 'аттенюация: высокая, 85%', 'флокуляция: высокая', 'спиртоустойчивость: не известно', 'рабочая температура: 20 - 25°c, типичный ph 3,2-3,5.', 'норма засева: 0,5-1 г на 1 л сусла (1 пакет на 11-22 л сусла).']	стили пива: берлинский вайс, гозе, американский ламбик, американский дикий эль, кислый ipa 36 месяцев от даты производства. в процессе транспортировки: упаковки могут перевозиться и храниться при комнатной температуре в течение не более 3-х месяцев, что не повлияет на их характеристики. в пункте назначения: хранить в прохладном и сухом помещении при температуре < 4°c все рецепты с ингредиентом все рецепты с ингредиентом	https://биp.pф/shop/320/desc/pivnye-drozhzhi-philly-sour-lallemand-11-g	 philly sour пивные	 philly sour пивные
26	malt	солод курский ржаной неферментированный	 грейнрус	ru		grainrus	25.0	кг	2316.0	rub	солод ржаной специальный российский, неферментированный, ржаной, органик фуд, мешок 25 кг		['мешок 25 кг']		https://malt.ru/catalog/solod/solod-rzhanoy-spetsialnyy-rossiyskiy-nefermentirovannyy-rzhanoy-organik-fud-meshok-25-kg/	курский неферментированный ржаной 	курский неферментированный ржаной 
27	yeast	пивные дрожжи munich classic wheat beer (lallemand)	 lallemand	us	дрожжи элевые	beer.rf	11.0	г	549.0	rub	пшеничные дрожжи разработаны в баварии и используются на ряде коммерческих пивоваренных заводов для производства немецкого пшеничного пива. диапазон брожения: 17-22°c. годен до пшеничные дрожжи разработаны в баварии и используются на ряде коммерческих пивоваренных заводов для производства немецкого пшеничного пива. диапазон брожения: 17-22°c. годен до	пивные дрожжи munich classic wheat beer - являются одним из ключевых ингредиентов для приготовления немецкого пшеничного пива и широко используются на различных коммерческих пивоваренных заводах. эти дрожжи прошли специальные процессы разведения и сушки, которые были разработаны с целью обеспечить высочайшее качество, необходимое для производства пшеничного пива. пивные дрожжи munich classic wheat beer - являются одним из ключевых ингредиентов для приготовления немецкого пшеничного пива и широко используются на различных коммерческих пивоваренных заводах. эти дрожжи прошли специальные процессы разведения и сушки, которые были разработаны с целью обеспечить высочайшее качество, необходимое для производства пшеничного пива. исключительные свойства пшеничных пивных дрожжей munich german делают их идеальным выбором для пивоваров, стремящихся создать пиво высшего класса. эти дрожжи обладают высокой бродильной активностью, что способствует равномерному и полному превращению сахаров в алкоголь и углекислый газ. благодаря этому, пиво приобретает свежий и характерный вкус, который так любят ценители пшеничного пива. пивные дрожжи munich classic wheat beer - являются одним из ключевых ингредиентов для приготовления немецкого пшеничного пива и широко используются на различных коммерческих пивоваренных заводах. эти дрожжи прошли специальные процессы разведения и сушки, которые были разработаны с целью обеспечить высочайшее качество, необходимое для производства пшеничного пива. исключительные свойства пшеничных пивных дрожжей munich german делают их идеальным выбором для пивоваров, стремящихся создать пиво высшего класса. эти дрожжи обладают высокой бродильной активностью, что способствует равномерному и полному превращению сахаров в алкоголь и углекислый газ. благодаря этому, пиво приобретает свежий и характерный вкус, который так любят ценители пшеничного пива. стили пива: баварские пшеничные стили	['аромат: фруктовый, банановый, пряный.', 'аттенюация: средняя, 75%', 'флокуляция: низкая', 'спиртоустойчивость: до 12% алкоголя', 'рабочая температура: 17 - 22°c', 'норма засева: 0,5-1 г на 1 л сусла (1 пакет на 11-22 л сусла).', 'аромат: фруктовый, банановый, пряный.', 'аттенюация: средняя, 75%', 'флокуляция: низкая', 'спиртоустойчивость: до 12% алкоголя', 'рабочая температура: 17 - 22°c', 'норма засева: 0,5-1 г на 1 л сусла (1 пакет на 11-22 л сусла).']	стили пива: баварские пшеничные стили 36 месяцев от даты производства. в процессе транспортировки: упаковки могут перевозиться и храниться при комнатной температуре в течение не более 3-х месяцев, что не повлияет на их характеристики. в пункте назначения: хранить в прохладном и сухом помещении при температуре < 4°c все рецепты с ингредиентом стили пива: баварские пшеничные стили 36 месяцев от даты производства. в процессе транспортировки: упаковки могут перевозиться и храниться при комнатной температуре в течение не более 3-х месяцев, что не повлияет на их характеристики. в пункте назначения: хранить в прохладном и сухом помещении при температуре < 4°c все рецепты с ингредиентом все рецепты с ингредиентом	https://биp.pф/shop/318/desc/pivnye-drozhzhi-munich-classic-wheat-beer-lallemand-11-g	beer classic munich wheat пивные	beer classic munich wheat пивные
