	item_type	clean_name	brand	country	subtype	source_domain	weight	units	price	currency	description	full_description	url	alpha	beta	cohumulon	oils
143	hop	экуанот / ekuanot aka эквинокс / equinox	john i. haas	сша	хмель в гранулах универсальный	beer.rf	500.0	г	2146.0	rub	относительно новый сорт американского хмеля, которому присущ аромат дыни, ягод, цитруса, лимона, яблока, папайя и зеленого перца. он также отлично подойдет на горечь. урожай 2024 г | альфа-кислота: 15,2 % относительно новый сорт американского хмеля, которому присущ аромат дыни, ягод, цитруса, лимона, яблока, папайя и зеленого перца. он также отлично подойдет на горечь. урожай 2024 г | альфа-кислота: 15,2 %	экуанот (ekuanot), также известен как эквинокс (equinox) - это захватывающий новый сорт американского хмеля, который был разработан селекционерами ранчо якима в штате вашингтон. это же селекционное хозяйство ранее порадовало нас такими известными сортами хмеля, как цитра, мозаика и симкое. экуанот - это их последнее творение, и оно действительно заслуживает внимания. когда весна приходит в штат вашингтон, почва начинает дарить нам ярко-желтые шишки хмеля экуанот, которые к середине осени превращаются в глубоко-зеленые шишки с высоким содержанием эфирных масел и привлекательным ароматом. аромат экуанота можно описать как смесь дыни, ягод, цитрусовых, лимона, яблока, папайи и зеленого перца. это дает пиву неповторимый и яркий характер. однако, не только аромат делает экуанот таким уникальным. этот сорт хмеля также обладает высоким содержанием альфа-кислот и средним количеством когумулона, что делает его отличным выбором для ранних добавок в котел, чтобы придать пиву характерную хмелевую горечь. кроме того высокое содержание эфирных масел позволяет использовать его и для поздних добавок в котел или для сухого охмеления, чтобы достичь более яркого аромата. экуанот (ekuanot), также известен как эквинокс (equinox) - это захватывающий новый сорт американского хмеля, который был разработан селекционерами ранчо якима в штате вашингтон. это же селекционное хозяйство ранее порадовало нас такими известными сортами хмеля, как цитра, мозаика и симкое. экуанот - это их последнее творение, и оно действительно заслуживает внимания. когда весна приходит в штат вашингтон, почва начинает дарить нам ярко-желтые шишки хмеля экуанот, которые к середине осени превращаются в глубоко-зеленые шишки с высоким содержанием эфирных масел и привлекательным ароматом. аромат экуанота можно описать как смесь дыни, ягод, цитрусовых, лимона, яблока, папайи и зеленого перца. это дает пиву неповторимый и яркий характер. однако, не только аромат делает экуанот таким уникальным. этот сорт хмеля также обладает высоким содержанием альфа-кислот и средним количеством когумулона, что делает его отличным выбором для ранних добавок в котел, чтобы придать пиву характерную хмелевую горечь. кроме того высокое содержание эфирных масел позволяет использовать его и для поздних добавок в котел или для сухого охмеления, чтобы достичь более яркого аромата. экуанот имеет множество применений в пивоварении. он может быть использован для создания различных стилей пива, от светлых эль до смелых ipa. благодаря своим ароматическим свойствам и хорошо сбалансированному профилю альфа-кислот, экуанот предлагает пивовару широкий спектр возможностей для экспериментов и создания уникальных вкусовых комбинаций.	https://бир.рф/shop/181/desc/khmel-ehkuanot-ekuanot-aka-ehkvinoks-equinox-ssha-500-g	14.5-15.5 %	4.5-5.5 %	32.0-38.0 %	2.5-4.5
145	hop	шпальтер селект / spalter select	ign	германия	хмель в гранулах ароматный	beer.rf	500.0	г	1133.0	rub	ароматный хмель с мягкими, слегка пряными нотками. он также сопоставим с жатецким хмелем и идеально подходит для лагеров, пильзнеров, и других сортов пива в немецком стиле. урожай 2024 | альфа кислота 6 % ароматный хмель с мягкими, слегка пряными нотками. он также сопоставим с жатецким хмелем и идеально подходит для лагеров, пильзнеров, и других сортов пива в немецком стиле. урожай 2024 | альфа кислота 6 %	хмель шпальтер селект (spalter select) - это замечательный сорт хмеля, который был разработан в нии хмеля в халле путем скрещивания хмелей шпальт и халлертаур мителльфрю. его появление пришлось на конец 1980-х годов, когда было решено создать новый сорт, который мог бы заменить популярный шпальт и обладал бы более высокими характеристиками. шпальтер селект относится к благородным сортам хмеля, так как содержит низкое количество когумулона. его уровень альфа-кислоты составляет примерно от 3,5% до 5,5%, при это обладает мягким ароматом, который напоминает шпальт, но с некоторой специфичностью. это делает его идеальным выбором для различных немецких стилей пива, таких как лагеры, пильзнеры и другие. хмель шпальтер селект (spalter select) - это замечательный сорт хмеля, который был разработан в нии хмеля в халле путем скрещивания хмелей шпальт и халлертаур мителльфрю. его появление пришлось на конец 1980-х годов, когда было решено создать новый сорт, который мог бы заменить популярный шпальт и обладал бы более высокими характеристиками. шпальтер селект относится к благородным сортам хмеля, так как содержит низкое количество когумулона. его уровень альфа-кислоты составляет примерно от 3,5% до 5,5%, при это обладает мягким ароматом, который напоминает шпальт, но с некоторой специфичностью. это делает его идеальным выбором для различных немецких стилей пива, таких как лагеры, пильзнеры и другие. хмель шпальтер селект также сравнивают с другим популярным немецким сортом хмеля - жатецким. оба сорта обладают схожими характеристиками и широко используются в немецком стиле пивоварения. это открывает возможности для экспериментов и создания новых вкусовых комбинаций.	https://бир.рф/shop/147/desc/khmel-shpalter-selekt-spalter-select-germanija-500-g	3.0-6.5 %	2.5-5.0 %	21.0-27.0 %	0.6-0.9
147	hop	циндао флауэр / tsingtao flower		хмель в гранулах универсальный	100 г	beer.rf	100.0	г	180.0	rub	самый востребованный и популярный универсальный сорт хмеля из поднебесной. по характеристикам похож на американский хмель каскад. урожай 2024 | альфа кислота 6,5 % самый востребованный и популярный универсальный сорт хмеля из поднебесной. по характеристикам похож на американский хмель каскад. урожай 2024 | альфа кислота 6,5 %	хмель циндао флауэр (tsingtao flower) - является гордостью народной республики китай и главным хмелевым сортом, представленным на рынке. этот сорт занимает до 90% общего производства хмеля в регионе и привлекает внимание своим уникальным ароматом и вкусом. в аромате циндао флауэр преобладают ягодные ноты, особенно черная смородина, которая придает пиву освежающий и фруктовый оттенок. но это только начало - в этом хмеле также можно обнаружить древесно-пряные нюансы табака, нотки чая и даже аромат жасмина. это сочетание создает уникальный ароматный букет, который привлекает пиволюбов со всего мира. однако аромат - это только одна сторона циндао флауэр. вкусовой профиль этого сорта характеризуется яркими цитрусовыми нотами грейпфрута и апельсина, которые придают пиву освежающую кислинку и легкость. дополнительно, в этом хмеле можно найти ароматы зеленого чая улун, который придает напитку некую глубину и сложность во вкусе, а сладкая дыня и сочная клубника придадут ощущения нежности и легкой сладости.	https://бир.рф/shop/1566/desc/khmel-cindao-flauehr-tsingtao-flower-kitaj-100-g	6.0-8.0 %	3.0-4.5 %		0.4-0.8
149	hop	премиант / premiant	barth haas group	чехия	хмель в гранулах горький	beer.rf	500.0	г	1307.0	rub	популярный чешский хмель двойного назначения, который на 50% произошел от хмеля жатецкий. отличный выбор для создания гладкой горечи в чешских пильзнерах и других сортах пива низового брожения. урожай 2025 | альфа 9 % популярный чешский хмель двойного назначения, который на 50% произошел от хмеля жатецкий. отличный выбор для создания гладкой горечи в чешских пильзнерах и других сортах пива низового брожения. урожай 2025 | альфа 9 %	хмель премиант (premiant) - это уникальный сорт чешского хмеля, известный своей мягкой горечью и двойным назначением, то есть способностью придавать пиву и горечь, и аромат. этот сорт получен путем скрещивания горьких сортов с благородным жатецким полуранним червеняком, что делает его поистине уникальным. одной из главных особенностей хмеля премиант является его высокое содержание альфа-кислот, что придает пиву хорошую горечь. однако, в отличие от других сортов с высоким содержанием альфа-кислот, премиант имеет низкое содержание когумулона. это означает, что горечь, получаемая с использованием этого сорта хмеля, является чистой и четкой, без грубости и острых нот. хмель премиант (premiant) - это уникальный сорт чешского хмеля, известный своей мягкой горечью и двойным назначением, то есть способностью придавать пиву и горечь, и аромат. этот сорт получен путем скрещивания горьких сортов с благородным жатецким полуранним червеняком, что делает его поистине уникальным. одной из главных особенностей хмеля премиант является его высокое содержание альфа-кислот, что придает пиву хорошую горечь. однако, в отличие от других сортов с высоким содержанием альфа-кислот, премиант имеет низкое содержание когумулона. это означает, что горечь, получаемая с использованием этого сорта хмеля, является чистой и четкой, без грубости и острых нот. аромат хмеля премиант сдержанный, пряный и землистый. хотя его ароматические компоненты не так сильны, как у некоторых других сортов чешского хмеля ароматического направления, премиант все равно завоевал свое место в пивоварении. это произошло благодаря сочетанию низкого содержания когумулона и других типичных характеристик этого сорта. охмеленное премиантом пиво не обладает грубой обескураживающей горечью, а наоборот, оно обладает изысканной благородно-пикантной горчинкой. это делает его идеальным выбором для тех, кто ценит гармонию вкуса и аромата в пиве.	https://бир.рф/shop/3425/desc/khmel-premiant-premiant-chekhija-500-g	7.0-11.0 %	3.5-6.0 %	18.0-23.0 %	0.9-1.3
151	hop	каскад / cascade	john i. haas	сша	99999999999999999999999999999999	beer.rf	50.0	г	175.0	rub	этот хмель является основоположником крафтовой революции зародившейся в сша в начале 1970-х годов. очень популярный хмель во всем мире, который можно использовать как для горечи, так и для аромата с нотками цитруса и грейпфрута. урожай 2025 | альфа 6,2 % этот хмель является основоположником крафтовой революции зародившейся в сша в начале 1970-х годов. очень популярный хмель во всем мире, который можно использовать как для горечи, так и для аромата с нотками цитруса и грейпфрута. урожай 2025 | альфа 6,2 %	хмель каскад (cascade) - это настоящая находка для пивоваров, особенно тех, кто предпочитает стиль американский пэйл эль (apa). этот хмель, с отличным вкусом и ароматом, завоевал популярность в пивоваренной промышленности и стал неотъемлемой частью многих коммерческих сортов пива в сша. история каскадного хмеля началась в 1972 году, и с тех пор он стал одним из самых популярных и доступных для изготовления домашнего и коммерческого пива хмелей в сша. его рассады легко доступны, что делает его привлекательным выбором для пивоваров всех уровней. каскад выращивается в различных частях света, включая новую зеландию, аргентину, германию и украину. но его название связано с каскадным хребтом гор, простирающимся от северной калифорнии до британской колумбии в канаде. этот хребет вдохновил создателей хмеля на его название, и оно стало символом его уникальности и качества. каскад обладает умеренным содержанием альфа-кислот, в диапазоне от 4,5% до 7%. но его настоящая сила проявляется в аромате. американская версия этого хмеля источает специфический аромат зеленого ботанического сада, который некоторые сравнивают с цитрусовыми или грейпфрутовыми нотками. это связано с высоким содержанием мирцена, который придает пиву особый характер. кроме того, хмель содержит фарнезен, используемый в парфюмерной и пищевой промышленности, что добавляет еще больше интересных ароматических нюансов.	https://бир.рф/shop/225/desc/khmel-kaskad-cascade-ssha-50-g	4.5-7.0 %	4.5-7.0 %	33.0-40.0 %	0.7-1.5
153	hop	истринский	агроресурсы	россия	хмель в гранулах ароматный	beer.rf	500.0	г	905.22	rub	ароматный сорт хмеля, который обладает нежным хмелевым привкусом и ярко выраженным сложным ароматом. урожай 2023 г | альфа-кислота 4,2 % ароматный сорт хмеля, который обладает нежным хмелевым привкусом и ярко выраженным сложным ароматом. урожай 2023 г | альфа-кислота 4,2 %	хмель истринский - это ароматный сорт хмеля обладающий нежным хмелевым привкусом и ароматом, которые добавляют особый шарм и характер пиву. в составе истринского хмеля содержится множество горьких веществ и ароматических компонентов, что делает его востребованным в пивоварении. этот сорт хмеля является универсальным и подходит для охмеления различных сортов пива. благодаря своей многогранности и богатому ароматическому профилю, истринский хмель может использоваться как для производства легких светлых сортов пива, так и для создания более насыщенных и крепких сортов, таких как бельгийские эли или стауты. альфа-кислота, которая является мерой горечи в хмеле, составляет 4,5%. это означает, что истринский хмель обладает низкой горечью, что делает его более привлекательным для пивоваров, как ароматический компонент пива.	https://бир.рф/shop/1173/desc/khmel-istrinskij-rossija-500-g	4.0-4.5 %			
245	hop	callista	hvg	германия		grainrus	100.0	г	275.0	rub	хмель гранулированный callista (каллиста)		https://malt.ru/catalog/khmel/kalista/				
247	hop	spalter selec	hvg	германия		grainrus	100.0	г	216.0	rub	хмель гранулированный shpalter select (шпальтер селект)		https://malt.ru/catalog/khmel/shpalter-selekt/				
250	hop	mandarina bavaria	hvg	германия		grainrus	100.0	г	259.0	rub	хмель гранулированный mandarina bavaria (мандарина бавария)		https://malt.ru/catalog/khmel/mandarina-bavariya/				
251	hop	hallertau blanc	hvg	германия		grainrus	100.0	г	250.0	rub	хмель гранулированный hallertau blanc (hhc) (халлертауер бланк (hhc))		https://malt.ru/catalog/khmel/khallertau-blank/				
253	hop	nugget	hvg	германия		grainrus	100.0	г	112.0	rub	хмель гранулированный nagget (наггет)		https://malt.ru/catalog/khmel/nagget/				
255	hop	northern brewer	hvg	германия		grainrus	100.0	г	274.0	rub	хмель гранулированный northern brewer (норсерн бревер)		https://malt.ru/catalog/khmel/nosen-brever/				
257	hop	saaz	mm-invest	чехия		grainrus	100.0	г	350.0	rub	хмель гранулированный saaz (жатецкий)		https://malt.ru/catalog/khmel/zhatetskiy/				
259	hop	magnum	barthhaas	германия		grainrus	100.0	г	200.0	rub	хмель гранулированный magnum (магнум)		https://malt.ru/catalog/khmel/magnum-shishka/				
261	hop	taurus	hvg	германия		grainrus	0.0	г		rub	хмель гранулированный taurus (htu) (таурус (htu))		https://malt.ru/catalog/khmel/taurus/				
263	hop	east kent golding	joh.barth&sohn			grainrus	0.0	г		rub	хмель гранулированный east kent golding (йест кент голдинг)		https://malt.ru/catalog/khmel/ist-kent-golding/				
265	hop	saaz special	mm-invest	чехия		grainrus	0.0	г		rub	хмель гранулированный saaz special (жатецкий специальный)		https://malt.ru/catalog/khmel/zhatetskiy-cpetsialnyy/				
266	hop	грейнрус геркулес	грейнрус хмель			grainrus	0.0	г		rub	хмель гранулированный геркулес		https://malt.ru/catalog/khmel/khmel-granulirovannyy-gerkules-gr/				
268	hop	грейнрус традиционный	грейнрус хмель			grainrus	0.0	г		rub	хмель гранулированный халлертауэр традишн		https://malt.ru/catalog/khmel/khmel-granulirovannyy-khallertauer-tradishn-gr/				
270	hop	грейнрус сапфир	грейнрус хмель			grainrus	0.0	г		rub	хмель гранулированный сапфир		https://malt.ru/catalog/khmel/khmel-granulirovannyy-sapfir-gr/				
272	hop	east kent golding	barthhaas	германия		grainrus	0.0	г		rub	хмель гранулированный east kent golding, great britain (йест кент голдинг, великобритания)		https://malt.ru/catalog/khmel/khmel-granulirovannyy-east-kent-golding-great-britain-yest-kent-golding-velikobritaniya/				
274	hop	sapfir	hvg	германия		grainrus	100.0	г	110.0	rub	хмель гранулированный sapfir (сапфир)		https://malt.ru/catalog/khmel/sapfir/				
277	hop	tradition	hvg	германия		grainrus	100.0	г	208.0	rub	хмель гранулированный tradition (традицион)		https://malt.ru/catalog/khmel/traditsion/				
279	hop	perle	hvg	германия		grainrus	100.0	г	204.0	rub	хмель гранулированный perle (перле)		https://malt.ru/catalog/khmel/perle/				
280	hop	hercules	hvg	германия		grainrus	100.0	г	238.0	rub	хмель гранулированный hercules (геркулес)		https://malt.ru/catalog/khmel/gerkules/				
283	hop	hallertau hersbruker	hvg	германия		grainrus	100.0	г	322.0	rub	хмель гранулированный hallertau hersbrucker (hhe) (халлертауер херсбруккер (нне))		https://malt.ru/catalog/khmel/khersbrukker/				
285	hop	hallertau mittelfruh	hvg	германия		grainrus	100.0	г	312.0	rub	хмель гранулированный hallertau mittelfruh (халлертауер миттелфрю)		https://malt.ru/catalog/khmel/khallertau-mittelfryu/				
287	hop	huell melon	hvg	германия		grainrus	100.0	г	280.0	rub	хмель гранулированный huell melon (hhn) (хюлл мелон (ннn))		https://malt.ru/catalog/khmel/khyuell-melon/				
289	hop	cascade	hvg	германия		grainrus	100.0	г	209.0	rub	хмель гранулированный cascade (каскад)		https://malt.ru/catalog/khmel/kaskad_1/				
290	hop	chinook	joh.barth&sohn			grainrus	100.0	г	343.0	rub	хмель гранулированный chinook (чинук)		https://malt.ru/catalog/khmel/chinuk/				
292	hop	columbus	joh.barth&sohn			grainrus	100.0	г	301.0	rub	хмель гранулированный columbus ctz (коламбус)		https://malt.ru/catalog/khmel/kolambus/				
295	hop	citra	joh.barth&sohn			grainrus	100.0	г	405.0	rub	хмель гранулированный citra (цитра)		https://malt.ru/catalog/khmel/tsitra/				
296	hop	tettnanger	barthhaas	германия		grainrus	100.0	г	342.0	rub	хмель гранулированный tettnanger (теттнангер)		https://malt.ru/catalog/khmel/khmel-granulirovannyy-tettnanger-tettnanger/				
299	hop	mosaic	joh.barth&sohn			grainrus	100.0	г	485.0	rub	хмель гранулированный mosaic (мозаик)		https://malt.ru/catalog/khmel/khmel-granulirovannyy-mosaic-mozaik/				
301	hop	грейнрус каскад	грейнрус хмель			grainrus	100.0	г	189.0	rub	хмель гранулированный каскад		https://malt.ru/catalog/khmel/khmel-granulirovannyy-kaskad-gr/				
303	hop	грейнрус мандарина бавария	грейнрус хмель			grainrus	100.0	г	189.0	rub	хмель гранулированный мандарина бавария		https://malt.ru/catalog/khmel/khmel-granulirovannyy-mandarina-bavariya-gr/				
305	hop	грейнрус наггет	грейнрус хмель			grainrus	100.0	г	189.0	rub	хмель гранулированный наггет		https://malt.ru/catalog/khmel/khmel-granulirovannyy-nagget-gr/				
307	hop	грейнрус магнум	грейнрус хмель			grainrus	100.0	г	189.0	rub	хмель гранулированный халлертауэр магнум		https://malt.ru/catalog/khmel/khmel-granulirovannyy-khallertauer-magnum-gr/				
309	hop	грейнрус перле	грейнрус хмель			grainrus	100.0	г	189.0	rub	хмель гранулированный перле		https://malt.ru/catalog/khmel/khmel-granulirovannyy-perle/				
311	hop	aurora	barthhaas	германия		grainrus	100.0	г	100.0	rub	хмель гранулированный aurora (аврора)		https://malt.ru/catalog/khmel/khmel-granulirovannyy-aurora-avrora/				
313	hop	lupomax citra	john i.haas, inc., usa			grainrus	100.0	г	680.0	rub	хмель гранулированный lupomax citra (лупомакс цитра)		https://malt.ru/catalog/khmel/khmel-granulirovannyy-lupomax-citra-lupomaks-tsitra/				
315	hop	lupomax mosaic	john i.haas, inc., usa			grainrus	100.0	г	680.0	rub	хмель гранулированный lupomax mosaic (лупомакс мозаик)		https://malt.ru/catalog/khmel/khmel-granulirovannyy-lupomax-mosaic-lupomaks-mozaik/				
316	hop	pekko	47 hops	сша		grainrus	100.0	г	256.0	rub	хмель гранулированный pekko (пекко)		https://malt.ru/catalog/khmel/khmel-granulirovannyy-pekko-pekko/				
410	hop	варриор / warrior	charles faram	сша	хмель в гранулах горький	beer.rf	500.0	г	1705.0	rub	суперальфовый и, пожалуй, самый горький американский сорт хмеля, который рекомендуется использовать для придания базовой горечи в пиве. урожай 2024 г. содержание альфа кислоты 13,1 % суперальфовый и, пожалуй, самый горький американский сорт хмеля, который рекомендуется использовать для придания базовой горечи в пиве. урожай 2024 г. содержание альфа кислоты 13,1 %	хмель варриор (warrior) - это настоящий воин среди сортов хмеля. производимый на главной ферме якима в штате вашингтон, на северо-западе сша, этот сорт хмеля обладает непревзойденными характеристиками и пользуется огромным спросом. хотя родословная и дата его появления остаются конфиденциальными, его качества и уникальность говорят сами за себя. варриор - это горький сорт хмеля, который зарекомендовал себя проверенным временем. в нем содержится многообразие горечи, которая придает пиву отличный привкус. содержание альфа-кислоты варьируется в диапазоне от 14,5% до 17,0%, что делает его идеальным для тех, кто ищет сильную горечь в своем пиве. одновременно с этим, содержание когумулона варьируется от 22,0% до 26,0%, что является относительно низким показателем для сорта с такой выразительной горечью. одной из особенностей варриора является его высокое содержание масла мирцена. это придает ему уникальный мягкий аромат, который делает его идеальным выбором для крепких эль-пив. хотя он широко используется в американском крафтовом пивоварении, варриор также может быть найден в коммерческих рецептах. его умеренное содержание других масел делает его более сбалансированным и позволяет ему вписаться в различные стили пива.	https://бир.рф/shop/208/desc/khmel-varrior-warrior-ssha-500-g	15.8-18.2 %	4.4-5.4 %	25.0-27.0 %	1.3-3.2
412	hop	варриор / warrior	charles faram	сша	хмель в гранулах горький	beer.rf	50.0	г	232.0	rub	суперальфовый и, пожалуй, самый горький американский сорт хмеля, который рекомендуется использовать для придания базовой горечи в пиве. урожай 2025 г. содержание альфа кислоты 16,8 % суперальфовый и, пожалуй, самый горький американский сорт хмеля, который рекомендуется использовать для придания базовой горечи в пиве. урожай 2025 г. содержание альфа кислоты 16,8 %	хмель варриор (warrior) - это настоящий воин среди сортов хмеля. производимый на главной ферме якима в штате вашингтон, на северо-западе сша, этот сорт хмеля обладает непревзойденными характеристиками и пользуется огромным спросом. хотя родословная и дата его появления остаются конфиденциальными, его качества и уникальность говорят сами за себя. варриор - это горький сорт хмеля, который зарекомендовал себя проверенным временем. в нем содержится многообразие горечи, которая придает пиву отличный привкус. содержание альфа-кислоты варьируется в диапазоне от 14,5% до 17,0%, что делает его идеальным для тех, кто ищет сильную горечь в своем пиве. одновременно с этим, содержание когумулона варьируется от 22,0% до 26,0%, что является относительно низким показателем для сорта с такой выразительной горечью. одной из особенностей варриора является его высокое содержание масла мирцена. это придает ему уникальный мягкий аромат, который делает его идеальным выбором для крепких эль-пив. хотя он широко используется в американском крафтовом пивоварении, варриор также может быть найден в коммерческих рецептах. его умеренное содержание других масел делает его более сбалансированным и позволяет ему вписаться в различные стили пива.	https://бир.рф/shop/210/desc/khmel-varrior-warrior-ssha-50-g	15.8-18.2 %	4.4-5.4 %	25.0-27.0 %	1.3-3.2
414	hop	варриор / warrior	charles faram	сша	хмель в гранулах горький	beer.rf	100.0	г	399.0	rub	суперальфовый и, пожалуй, самый горький американский сорт хмеля, который рекомендуется использовать для придания базовой горечи в пиве. урожай 2025 г. содержание альфа кислоты 16,8 % суперальфовый и, пожалуй, самый горький американский сорт хмеля, который рекомендуется использовать для придания базовой горечи в пиве. урожай 2025 г. содержание альфа кислоты 16,8 %	хмель варриор (warrior) - это настоящий воин среди сортов хмеля. производимый на главной ферме якима в штате вашингтон, на северо-западе сша, этот сорт хмеля обладает непревзойденными характеристиками и пользуется огромным спросом. хотя родословная и дата его появления остаются конфиденциальными, его качества и уникальность говорят сами за себя. варриор - это горький сорт хмеля, который зарекомендовал себя проверенным временем. в нем содержится многообразие горечи, которая придает пиву отличный привкус. содержание альфа-кислоты варьируется в диапазоне от 14,5% до 17,0%, что делает его идеальным для тех, кто ищет сильную горечь в своем пиве. одновременно с этим, содержание когумулона варьируется от 22,0% до 26,0%, что является относительно низким показателем для сорта с такой выразительной горечью. одной из особенностей варриора является его высокое содержание масла мирцена. это придает ему уникальный мягкий аромат, который делает его идеальным выбором для крепких эль-пив. хотя он широко используется в американском крафтовом пивоварении, варриор также может быть найден в коммерческих рецептах. его умеренное содержание других масел делает его более сбалансированным и позволяет ему вписаться в различные стили пива.	https://бир.рф/shop/209/desc/khmel-varrior-warrior-ssha-100-g	15.8-18.2 %	4.4-5.4 %	25.0-27.0 %	1.3-3.2
416	hop	халлертаур миттельфрю / hallertauer mittelfrüh	powisle	германия	хмель в гранулах универсальный	beer.rf	50.0	г	211.0	rub	классический немецкий хмель подходит для пива в баварском стиле. хмель hallertau mittelfruh отличается интенсивной гармоничной горечью и мягким пряным ароматом с цветочными и цитрусовыми нотками. урожай 2025 | альфа: 3,8 % классический немецкий хмель подходит для пива в баварском стиле. хмель hallertau mittelfruh отличается интенсивной гармоничной горечью и мягким пряным ароматом с цветочными и цитрусовыми нотками. урожай 2025 | альфа: 3,8 %	халлертаур миттельфрю (hallertauer mittelfrüh) - благородный сорт хмеля с богатой историей, происходящей из германии. несмотря на то, что он находится на спаде в производстве, этот сорт все еще остается важным элементом для создания пива в немецком стиле. производство халлертаура миттельфрю сосредоточено в баварии, южном регионе германии, где идеальные климатические условия и плодородные почвы обеспечивают оптимальный рост и развитие хмеля. этот сорт известен своим ароматом и характером, которые придают пиву неповторимый вкус. халлертаур миттельфрю обладает альфа-кислотой в диапазоне от 3,5% до 5,5%. он также содержит высокие концентрации мирцена и кариофиллена, которые отвечают за его пряный аромат и характер. эти масла придают пиву особенную глубину и богатство вкуса, что делает его идеальным для использования в лагерном пиве. хотя халлертаур миттельфрю может быть заменен другими сортами хмеля с аналогичными пивоваренными качествами, его уникальный профиль аромата и характера продолжают привлекать пивоваров и ценителей пива. его использование в пивоварении добавляет особый оттенок и неповторимость в каждый глоток.	https://бир.рф/shop/133/desc/khmel-khallertaur-mittelfrju-hallertauer-mittelfruh-germanija-50-g	3.0-5.5 %	3.0-5.0 %	18.0-28.0 %	0.7-1.3
418	hop	уилламетт / willamette	yakima chief hops	сша	хмель в гранулах ароматный	beer.rf	50.0	г	291.0	rub	английский хмель выращенный в сша, который используют обычно для вкуса и аромата в английских и американских пивоваренных рецептах. известен своим мягким, нежно-пряным и цитрусовым ароматом. урожай 2024 г | альфа кислота 5,2 % английский хмель выращенный в сша, который используют обычно для вкуса и аромата в английских и американских пивоваренных рецептах. известен своим мягким, нежно-пряным и цитрусовым ароматом. урожай 2024 г | альфа кислота 5,2 %	хмель уилламетт (willamette) - это уникальный сорт хмеля, который заслуженно пользуется популярностью среди американских пивоваров. названный в честь реки уилламетт, этот сорт был выведен и выпущен в 1976 году министерством сельского хозяйства сша. река уилламетт, протекающая в долине уилламетт, является одной из известных достопримечательностей штатов вашингтон и орегон. уилламетт является триплоидным саженцем хмеля фаггл, считается типичным английским сортом, который формировался десятилетиями в пивоварение. этот сорт хмеля отличается своим ароматом и вкусом, а его низкое содержание альфа-кислот делает его идеальным для добавления в пиво с целью придания ароматических нот, а не горчинки. одной из особенностей уилламетта является его богатое содержание эфирных масел. в нем присутствуют мирцен, гумулен и фарнезен в выше среднего количестве, что придает этому сорту хмеля уникальный травянистый аромат с фруктовыми и цветочными нотами. эта тонкая пряность делает уилламетт идеальным выбором для пивоваров, желающих добавить в свое пиво особый аромат и вкус.	https://бир.рф/shop/228/desc/khmel-uillamett-willamette-ssha-50-g	4.6-6.0 %	3.6-4.2 %	29.0-32.0 %	0.6-1.6
