	item_type	clean_name	brand	country	subtype	source_domain	weight	units	price	currency	description	full_description	url	color	extract	protein	share	kolbach	diastatic
19	malt	карамельный castle malting cara terra	castle malting	бельгия		grainrus	25.0	кг	5089.0	rub	солод ячменный специальный импортный, cara terra, castle malting, мешок 25 кг		https://malt.ru/catalog/solod/kara-terra/	170.0-220.0 ebc					
22	malt	курский ржаной ферментированный	органик фуд			grainrus	25.0	кг	2316.0	rub	солод ржаной специальный российский, ферментированный, ржаной, органик фуд, мешок 25 кг		https://malt.ru/catalog/solod/solod-rzhanoy-spetsialnyy-rossiyskiy-fermentirovannyy-rzhanoy-organik-fud-meshok-25-kg/						
24	malt	курский ржаной неферментированный	органик фуд			grainrus	25.0	кг	2486.0	rub	солод ржаной специальный российский, неферментированный, дробленый, ржаной, органик фуд, мешок 25 кг		https://malt.ru/catalog/solod/solod-rzhanoy-spetsialnyy-rossiyskiy-nefermentirovannyy-droblenyy-rzhanoy-organik-fud-meshok-25-kg/						
26	malt	курский ржаной неферментированный	органик фуд			grainrus	25.0	кг	2316.0	rub	солод ржаной специальный российский, неферментированный, ржаной, органик фуд, мешок 25 кг		https://malt.ru/catalog/solod/solod-rzhanoy-spetsialnyy-rossiyskiy-nefermentirovannyy-rzhanoy-organik-fud-meshok-25-kg/						
28	malt	курский ржаной ферментированный	органик фуд			grainrus	5.0	кг	540.0	rub	солод ржаной специальный российский, ферментированный, дробленый, ржаной, органик фуд, мешок 5 кг		https://malt.ru/catalog/solod/solod-rzhanoy-spetsialnyy-rossiyskiy-fermentirovannyy-droblenyy-rzhanoy-organik-fud-meshok-5-kg/						
30	malt	курский ржаной ферментированный	органик фуд			grainrus	5.0	кг	506.0	rub	солод ржаной специальный российский, ферментированный, ржаной, органик фуд, мешок 5 кг		https://malt.ru/catalog/solod/solod-rzhanoy-spetsialnyy-rossiyskiy-fermentirovannyy-rzhanoy-organik-fud-meshok-5-kg/						
33	malt	курский ржаной ферментированный	органик фуд			grainrus	1.0	кг	128.0	rub	солод ржаной специальный российский, ферментированный, дробленый, ржаной, органик фуд, мешок 1 кг		https://malt.ru/catalog/solod/solod-rzhanoy-spetsialnyy-rossiyskiy-fermentirovannyy-droblenyy-rzhanoy-organik-fud-meshok-1-kg/						
34	malt	castle malting munich	castle malting	бельгия		grainrus	5.0	кг	935.0	rub	солод ячменный специальный импортный, munich malt, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/myunkhenskiy-5/	21.0-28.0 ebc					
37	malt	castle malting cafe light	castle malting	бельгия		grainrus	5.0	кг	1211.0	rub	солод ячменный специальный импортный, cafe light, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-importnyy-cafe-light-castle-malting-meshok-5-kg/	220.0-280.0 ebc					
39	malt	castle malting wheat blanc	castle malting	бельгия		grainrus	5.0	кг	891.0	rub	солод пшеничный специальный импортный, wheat blanc, castle malting, мешок 5 кг		https://malt.ru/catalog/solod/solod-pshenichnyy-spetsialnyy-importnyy-wheat-blanc-castle-malting-meshok-5-kg/	5.5 ebc					
